Survival,Sex,Mass2,BroodSize,JulianDate
1,M,3.7,5,110
1,M,3.4,5,111
1,F,3.1,5,111
1,F,3.1,5,111
0,F,2.9,5,111
0,M,2.1,5,111
1,M,3.9,4,111
1,M,3.5,4,111
1,F,3.6,4,111
0,F,2,4,111
1,M,4.2,4,112
1,F,4,4,112
1,M,3.1,4,112
1,M,2.2,4,112
1,M,4.3,3,112
1,M,4.1,3,112
0,M,2.5,3,112
0,F,3.3,4,113
0,M,2.8,4,113
0,M,2.9,4,113
0,F,2.1,4,113
1,F,6.7,3,113
1,M,4.3,3,113
0,F,2.5,3,113
1,M,4.9,3,114
1,F,4.4,3,114
0,M,2.8,3,114
0,F,2.4,2,114
0,M,1.9,2,114
1,M,3.5,6,115
1,M,3.3,6,115
1,F,2.8,6,115
0,F,2.5,6,115
0,M,2.4,6,115
0,M,2,6,115
1,M,4.9,3,116
1,M,4.4,3,116
0,M,2.5,3,116
1,F,4,3,116
0,M,2.8,3,116
0,F,1.9,3,116
0,F,2.6,3,116
0,F,2,3,116
0,F,2.4,3,116
0,F,4,4,117
1,M,3.4,4,117
1,F,2.2,4,117
0,M,2.2,4,117
0,F,2.2,2,117
0,F,1.5,2,117
0,M,2.9,4,117
1,M,3.2,4,117
0,F,1.9,4,117
0,F,2.2,4,117
1,M,3.5,4,117
0,M,2.9,4,117
0,M,2.4,4,117
0,M,5.7,4,117
1,F,4.4,4,117
1,M,3.6,4,117
0,F,2.4,4,117
1,F,5,4,118
1,F,5.1,4,118
1,F,4.8,4,118
1,M,3.5,4,118
1,F,5.1,2,118
1,F,3.2,2,118
1,F,5.4,3,119
1,M,4.5,3,119
1,M,3.6,3,119
0,F,1.6,2,119
0,F,1.5,2,119
0,M,2.6,5,120
0,M,2.6,5,120
0,F,2.6,5,120
0,F,1.5,5,120
0,M,1.5,5,120
1,F,3.7,4,120
1,F,3.7,4,120
1,F,3.2,4,120
1,M,2,4,120
0,F,3.2,4,120
0,M,3.2,4,120
0,F,1.9,4,120
0,F,1.5,4,120
0,F,3,2,120
0,M,2.4,2,120
1,M,3.7,2,120
0,F,2.7,2,120
1,M,4,2,120
1,M,3.4,2,120
1,F,4.8,4,121
1,F,4.2,4,121
1,F,4.3,4,121
1,M,2.4,4,121
0,M,6.3,3,121
1,F,6.2,3,121
1,M,6.3,3,121
1,F,3.4,1,122
1,F,3.9,3,127
1,M,2.9,3,127
1,M,2.9,3,127
1,M,6.9,3,127
1,M,5.9,3,127
1,F,4.8,3,127
1,F,5.1,4,129
1,F,4.5,4,129
1,F,3.6,4,129
1,M,3.2,4,129
1,F,5,3,130
0,F,4.8,3,130
0,M,3.3,3,130
0,F,5,1,130
0,M,4.1,4,131
0,F,4.1,4,131
0,F,2.9,4,131
0,M,2.4,4,131
0,F,6.3,3,134
0,M,5.3,3,134
0,F,2.8,3,134
0,M,3.5,1,135
1,M,7.1,4,136
1,F,5.7,4,136
1,F,5.2,4,136
1,M,2.8,4,136
1,F,4.7,3,136
1,F,3,3,136
0,F,2,3,136
0,M,3.2,2,137
0,M,2.1,2,137
1,F,5.8,2,139
1,M,5.1,2,139
1,M,2.8,2,139
1,M,3,4,141
1,M,3,4,141
1,F,2.4,4,141
0,F,2.1,4,141
1,M,3.9,5,141
1,M,3.7,5,141
1,F,3.5,5,141
0,M,2.8,5,141
0,F,2,5,141
1,M,2.8,4,141
1,F,2.2,4,141
1,F,2,4,141
1,M,2.3,4,141
1,M,4.3,5,141
0,M,4.2,5,141
1,F,3.3,5,141
1,F,2.3,5,141
1,M,2.3,5,141
0,F,3,2,141
0,F,2.1,2,141
1,M,3,4,40
0,M,3.1,4,40
1,M,2.3,4,40
0,M,2,4,40
0,M,4.3,5,41
1,M,4.1,5,41
0,F,3.4,5,41
0,F,3.1,5,41
0,F,3.1,5,41
1,M,5.7,2,41
0,F,3.7,2,41
0,M,2.7,4,42
0,M,2.4,4,42
0,M,2.6,4,42
0,M,1.7,4,42
0,F,2.4,3,42
0,M,2.2,3,42
0,M,2,3,42
0,F,4.4,5,42
0,F,3.7,5,42
0,F,3.1,5,42
0,M,2.2,5,42
0,M,2.1,5,42
0,M,3.7,3,44
0,M,3.4,3,44
0,M,2.8,3,44
0,M,2.3,4,44
0,M,4.3,2,46
0,M,3.8,2,46
0,F,2.3,3,49
0,F,2.1,3,49
0,M,2.1,4,51
0,M,2,4,51
0,M,2.5,4,52
0,M,2.4,4,52
0,F,2.2,4,52
0,M,3.5,3,52
0,M,3,3,52
0,M,2.1,3,52
0,F,2,4,53
0,F,2,4,53
0,F,2.2,4,53
0,M,1.8,4,53
1,M,3.6,3,62
1,F,3.2,3,62
1,M,3.4,3,62
1,M,3.5,1,65
0,F,2.6,2,65
0,M,2.6,2,65
0,M,3.7,3,66
0,M,2.6,3,66
1,F,2.3,3,66
0,M,3.6,4,67
0,F,3.2,4,67
0,F,2.3,4,67
0,M,2.2,4,67
0,F,3.7,4,67
0,M,3.1,4,67
1,M,4.3,4,67
0,F,2,4,67
0,F,2.2,4,69
0,M,2.6,4,69
0,M,1.9,4,69
0,M,2.2,4,69
1,F,4.4,2,72
1,M,4.1,2,72
0,M,4.5,3,73
1,F,4.4,3,73
0,F,2.5,3,73
0,M,3.4,4,74
0,M,3.5,4,74
0,M,2,4,74
0,M,3.4,4,74
0,M,4.2,3,75
1,F,3.9,3,75
0,F,2.4,3,75
1,F,4.2,4,75
0,M,3.4,4,75
0,M,3.3,4,75
0,M,2.4,4,75
1,M,6.6,3,78
1,M,4.3,3,78
1,M,3.2,3,78
1,M,4.4,4,78
1,M,3.8,4,78
1,M,3.7,4,78
1,M,2.3,4,78
1,F,5,3,79
1,F,4.9,3,79
1,M,3.7,3,79
1,F,5.8,3,79
0,F,4.3,3,79
1,F,3.7,3,79
1,M,4.7,5,80
1,M,3.8,5,80
0,M,3.7,5,80
0,M,3.2,5,80
1,F,2.1,5,80
1,M,5.9,4,80
1,M,5.3,4,80
1,F,5,4,80
0,M,3.3,4,80
1,M,4.1,2,81
0,F,2.7,2,81
0,M,3.7,5,81
0,M,3.4,5,81
1,M,3.5,5,81
1,M,3.5,5,81
1,M,2.4,5,81
0,F,2.4,3,81
0,F,2.2,3,81
1,M,5.1,4,82
0,F,5.3,4,82
1,F,4.2,4,82
1,F,3.5,4,82
1,M,3.8,4,83
1,M,3.6,4,83
1,M,3.9,4,83
1,F,2.1,4,83
1,F,5.5,3,83
1,F,6.2,3,83
1,M,5.6,3,83
1,F,2.3,3,83
1,M,3.5,3,83
1,F,2.1,3,83
0,F,2.8,4,83
1,F,3.7,2,84
1,F,3.5,2,84
0,M,4.5,2,84
1,F,3,2,84
1,M,5.5,4,88
0,M,4.4,4,88
1,M,4.9,4,88
0,F,2.4,4,88
0,F,3.4,3,92
0,F,3.1,3,92
0,M,2.1,3,92
0,F,3.5,5,92
0,M,3,5,92
0,M,2.6,5,92
0,M,2,5,92
0,M,1.6,5,92
1,M,6.1,5,93
1,F,5.1,5,93
0,M,4.5,5,93
0,F,2.7,5,93
0,M,2.2,5,93
1,M,3.9,3,98
0,F,3.5,3,98
1,F,2.1,3,98
1,F,4.7,4,98
1,F,3.9,4,98
1,F,2.9,4,98
0,M,2.7,4,98
0,F,2,5,100
0,M,1.9,5,100
0,F,1.5,5,100
0,F,1.8,5,100
1,F,4.3,5,100
0,M,3.7,5,100
1,F,3.4,5,100
1,F,2.9,5,100
0,F,2.9,5,100
1,M,4.3,3,100
1,M,4.3,3,100
1,F,3.3,3,100
1,F,4.8,4,102
1,M,4.2,4,102
1,F,3.7,4,102
0,M,2.2,4,102
1,M,4.7,4,103
1,M,3.7,4,103
0,M,3.4,4,103
0,M,2,4,103
1,M,3.2,2,104
1,M,2.8,2,104
1,M,3.8,5,106
1,F,3.5,5,106
1,M,2.9,5,106
1,M,5.1,1,107
1,M,6,4,115
1,M,4.7,4,115
1,M,3.9,4,115
1,F,2.3,4,115
1,M,3.4,4,116
0,M,2.5,4,116
0,F,2.4,4,116
1,F,2.3,4,116
1,F,4.3,1,117
1,F,6,5,117
1,F,5.3,5,117
1,F,5.5,5,117
0,M,4.4,5,117
0,F,4.1,5,117
1,F,3,3,118
1,F,3.4,3,118
1,M,2,3,118
1,F,6.1,4,119
1,F,6.2,4,119
1,M,3.7,4,119
0,F,2.3,4,119
1,F,5.5,4,120
1,M,5.8,4,120
0,M,4.6,4,120
1,F,3.7,4,120
0,M,3.8,1,121
0,M,3.7,4,121
1,F,4.1,4,121
1,F,3.7,4,121
1,F,2.4,4,121
0,F,3.5,5,121
1,F,3.5,5,121
1,F,3.4,5,121
1,M,3,5,121
0,F,2.2,5,121
0,F,4.7,4,121
1,F,5.1,4,121
1,M,5.3,4,121
1,M,2.9,4,121
1,F,4.8,2,122
1,F,4.1,2,122
1,F,4.6,2,122
1,M,3.9,2,122
0,F,4.9,4,124
0,F,4.1,4,124
1,F,3.7,4,124
0,F,2.3,4,124
0,M,3.7,4,124
0,F,2.9,4,124
0,F,2.6,4,124
0,M,2.2,4,124
0,M,3.2,4,133
0,F,2.5,4,133
1,M,2.7,4,133
0,M,2.2,4,133
0,M,2.4,2,137
0,M,2.3,2,137
